City,Art,Erotic,History,Planetarium,Science
"Accra, Ghana",10.0,0.0,50.0,20.0,20.0
"Addis Ababa, Ethiopia",14.285714285714285,0.0,85.71428571428571,0.0,0.0
"Algiers, Algeria",36.36363636363637,0.0,63.63636363636363,0.0,0.0
"Amman, Jordan",25.0,0.0,75.0,0.0,0.0
"Amsterdam, Netherlands",20.155038759689923,34.883720930232556,35.65891472868217,4.651162790697675,4.651162790697675
"Andorra la Vella, Andorra",35.714285714285715,0.0,42.857142857142854,14.285714285714285,7.142857142857142
"Apia, Samoa",0.0,0.0,100.0,0.0,0.0
"Astana, Kazakhstan",30.0,0.0,40.0,0.0,30.0
"Asunción, Paraguay",30.0,0.0,40.0,15.0,15.0
"Athens, Greece",40.67796610169492,0.0,44.06779661016949,8.47457627118644,6.779661016949152
"Avarua, Cook Islands",0.0,0.0,66.66666666666666,0.0,33.33333333333333
"Baghdad, Iraq",0.0,0.0,100.0,0.0,0.0
"Baku, Azerbaijan",33.33333333333333,0.0,50.0,8.333333333333332,8.333333333333332
"Bandar Seri Begawan, Brunei",0.0,0.0,71.42857142857143,0.0,28.57142857142857
"Banjul, Gambia",0.0,0.0,100.0,0.0,0.0
"Basseterre, Saint Kitts and Nevis",0.0,0.0,100.0,0.0,0.0
"Beijing, China",33.89830508474576,1.694915254237288,49.152542372881356,5.084745762711865,10.16949152542373
"Beirut, Lebanon",40.0,0.0,40.0,0.0,20.0
"Belfast, United Kingdom Northern Ireland",14.285714285714285,0.0,71.42857142857143,0.0,14.285714285714285
"Belgrade, Serbia",23.52941176470588,5.88235294117647,55.88235294117647,2.941176470588235,11.76470588235294
"Belmopan, Belize",0.0,0.0,100.0,0.0,0.0
"Berlin, Germany",32.52032520325203,1.6260162601626018,50.40650406504065,3.2520325203252036,12.195121951219512
"Bishkek, Kyrgyzstan",42.857142857142854,0.0,42.857142857142854,0.0,14.285714285714285
"Bissau, Guinea-Bissau",0.0,0.0,100.0,0.0,0.0
"Bogotá, Colombia",26.47058823529412,0.0,38.23529411764706,2.941176470588235,32.35294117647059
"Brasília, Brazil",27.27272727272727,0.0,57.57575757575758,3.0303030303030303,12.121212121212121
"Brazzaville, Republic of the Congo",0.0,0.0,100.0,0.0,0.0
"Bridgetown, Barbados",0.0,0.0,100.0,0.0,0.0
"Brussels, Belgium",46.51162790697674,2.3255813953488373,33.72093023255814,6.976744186046512,10.465116279069768
"Bucharest, Romania",30.555555555555557,0.0,41.66666666666667,8.333333333333332,19.444444444444446
"Budapest, Hungary",30.263157894736842,1.3157894736842104,53.94736842105263,2.631578947368421,11.842105263157894
"Buenos Aires, Argentina",28.78787878787879,0.0,54.54545454545454,4.545454545454546,12.121212121212121
"Cairo, Egypt",32.0,0.0,44.0,0.0,24.0
"Canberra, Australia",11.11111111111111,0.0,44.44444444444444,22.22222222222222,22.22222222222222
"Cayenne, French Guiana",0.0,0.0,100.0,0.0,0.0
"Chisinau, Moldova",8.333333333333332,0.0,58.333333333333336,0.0,33.33333333333333
"Copenhagen, Denmark",32.78688524590164,1.639344262295082,52.459016393442624,3.278688524590164,9.836065573770492
"Dakar, Senegal",33.33333333333333,0.0,66.66666666666666,0.0,0.0
"Dili, East Timor (Timor-Leste)",0.0,0.0,100.0,0.0,0.0
"Doha, Qatar",40.0,0.0,33.33333333333333,6.666666666666667,20.0
"Douglas, Isle of Man",0.0,0.0,50.0,50.0,0.0
"Dublin, Ireland",24.242424242424242,0.0,60.60606060606061,0.0,15.151515151515152
"Edinburgh, Scotland",23.333333333333332,0.0,50.0,13.333333333333334,13.333333333333334
"Flying Fish Cove, Christmas Island",0.0,0.0,100.0,0.0,0.0
"Freetown, Sierra Leone",50.0,0.0,50.0,0.0,0.0
"Gaborone, Botswana",33.33333333333333,0.0,66.66666666666666,0.0,0.0
"George Town, Cayman Islands",0.0,0.0,100.0,0.0,0.0
"Georgetown, Guyana",0.0,0.0,100.0,0.0,0.0
"Gibraltar, Gibraltar",20.0,0.0,80.0,0.0,0.0
"Guatemala City, Guatemala",27.77777777777778,0.0,44.44444444444444,5.555555555555555,22.22222222222222
"Gustavia, Saint Barthélemy",0.0,0.0,100.0,0.0,0.0
"Hagåtña, Guam",50.0,0.0,50.0,0.0,0.0
"Hamilton, Bermuda",14.285714285714285,0.0,71.42857142857143,0.0,14.285714285714285
"Havana, Cuba",64.28571428571429,0.0,28.57142857142857,0.0,7.142857142857142
"Helsinki, Finland",29.629629629629626,0.0,51.85185185185185,7.4074074074074066,11.11111111111111
"Islamabad, Pakistan",20.0,0.0,80.0,0.0,0.0
"Jakarta, Indonesia",20.0,1.0,65.0,4.0,10.0
"Jamestown, Saint Helena",0.0,0.0,100.0,0.0,0.0
"Jerusalem, Israel",18.181818181818183,0.0,57.57575757575758,9.090909090909092,15.151515151515152
"Jerusalem, Palestine",24.0,0.0,44.0,12.0,20.0
"Kabul, Afghanistan",0.0,0.0,100.0,0.0,0.0
"Kathmandu, Nepal",50.0,0.0,40.0,10.0,0.0
"Kigali, Rwanda",0.0,0.0,83.33333333333334,0.0,16.666666666666664
"Kingston, Jamaica",25.0,0.0,62.5,0.0,12.5
"Kingston, Norfolk Island",0.0,0.0,100.0,0.0,0.0
"Kinshasa, Democratic Republic of the Congo",0.0,0.0,100.0,0.0,0.0
"Kuala Lumpur, Malaysia",21.311475409836063,1.639344262295082,49.18032786885246,19.672131147540984,8.19672131147541
"Kuwait City, Kuwait",17.647058823529413,0.0,50.0,17.647058823529413,14.705882352941178
"Libreville, Gabon",100.0,0.0,0.0,0.0,0.0
"Lima, Peru",21.73913043478261,0.0,65.21739130434783,4.3478260869565215,8.695652173913043
"Lisbon, Portugal",37.28813559322034,0.0,50.847457627118644,1.694915254237288,10.16949152542373
"Luanda, Angola",0.0,0.0,100.0,0.0,0.0
"Luxembourg, Luxembourg",40.0,0.0,40.0,10.0,10.0
"Malé, Maldives",0.0,0.0,50.0,40.0,10.0
"Managua, Nicaragua",50.0,0.0,0.0,50.0,0.0
"Manama, Bahrain",33.33333333333333,0.0,58.333333333333336,0.0,8.333333333333332
"Manila, Philippines",15.555555555555555,4.444444444444445,44.44444444444444,8.88888888888889,26.666666666666668
"Maputo, Mozambique",33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333
"Marigot, Saint Martin",0.0,0.0,100.0,0.0,0.0
"Maseru, Lesotho",0.0,0.0,100.0,0.0,0.0
"Mexico City, Mexico",36.72316384180791,1.1299435028248588,50.847457627118644,2.824858757062147,8.47457627118644
"Minsk, Belarus",21.73913043478261,21.73913043478261,43.47826086956522,4.3478260869565215,8.695652173913043
"Monaco, Monaco",57.14285714285714,0.0,42.857142857142854,0.0,0.0
"Moscow, Russia",28.09917355371901,1.6528925619834711,51.652892561983464,2.8925619834710745,15.702479338842975
"Muscat, Oman",15.384615384615385,0.0,38.46153846153847,23.076923076923077,23.076923076923077
"Nairobi, Kenya",14.285714285714285,0.0,71.42857142857143,0.0,14.285714285714285
"Nassau, Bahamas",40.0,0.0,60.0,0.0,0.0
"Naypyidaw, Myanmar",0.0,0.0,100.0,0.0,0.0
