City,Art,Erotic,History,Planetarium,Science
"Abuja, Nigeria",0,0,0,0,0
"Accra, Ghana",1,0,5,2,2
"Adamstown, Pitcairn Islands",0,0,0,0,0
"Addis Ababa, Ethiopia",1,0,6,0,0
"Algiers, Algeria",4,0,7,0,0
"Alofi, Niue",0,0,0,0,0
"Amman, Jordan",2,0,6,0,0
"Amsterdam, Netherlands",26,45,46,6,6
"Andorra la Vella, Andorra",5,0,6,2,1
"Antananarivo, Madagascar",0,0,0,0,0
"Apia, Samoa",0,0,2,0,0
"Asmara, Eritrea",0,0,0,0,0
"Astana, Kazakhstan",3,0,4,0,3
"Asunción, Paraguay",6,0,8,3,3
"Athens, Greece",24,0,26,5,4
"Avarua, Cook Islands",0,0,2,0,1
"Baghdad, Iraq",0,0,3,0,0
"Baku, Azerbaijan",4,0,6,1,1
"Bamako, Mali",0,0,0,0,0
"Bandar Seri Begawan, Brunei",0,0,5,0,2
"Bangui, Central African Republic",0,0,0,0,0
"Banjul, Gambia",0,0,1,0,0
"Basseterre, Saint Kitts and Nevis",0,0,1,0,0
"Beijing, China",20,1,29,3,6
"Beirut, Lebanon",4,0,4,0,2
"Belfast, United Kingdom Northern Ireland",1,0,5,0,1
"Belgrade, Serbia",8,2,19,1,4
"Belmopan, Belize",0,0,1,0,0
"Berlin, Germany",40,2,62,4,15
"Bishkek, Kyrgyzstan",6,0,6,0,2
"Bissau, Guinea-Bissau",0,0,1,0,0
"Bogotá, Colombia",9,0,13,1,11
"Brasília, Brazil",9,0,19,1,4
"Brazzaville, Republic of the Congo",0,0,1,0,0
"Bridgetown, Barbados",0,0,6,0,0
"Brussels, Belgium",40,2,29,6,9
"Bucharest, Romania",11,0,15,3,7
"Budapest, Hungary",23,1,41,2,9
"Buenos Aires, Argentina",19,0,36,3,8
"Bujumbura, Burundi",0,0,0,0,0
"Cairo, Egypt",8,0,11,0,6
"Canberra, Australia",2,0,8,4,4
"Castries, Saint Lucia",0,0,0,0,0
"Cayenne, French Guiana",0,0,1,0,0
"Chisinau, Moldova",1,0,7,0,4
"Conakry, Guinea",0,0,0,0,0
"Copenhagen, Denmark",20,1,32,2,6
"Dakar, Senegal",2,0,4,0,0
"Dili, East Timor (Timor-Leste)",0,0,3,0,0
"Djibouti, Djibouti",0,0,0,0,0
"Doha, Qatar",6,0,5,1,3
"Douglas, Isle of Man",0,0,1,1,0
"Dublin, Ireland",8,0,20,0,5
"Edinburgh, Scotland",7,0,15,4,4
"Flying Fish Cove, Christmas Island",0,0,1,0,0
"Freetown, Sierra Leone",1,0,1,0,0
"Gaborone, Botswana",1,0,2,0,0
"George Town, Cayman Islands",0,0,1,0,0
"Georgetown, Guyana",0,0,1,0,0
"Gibraltar, Gibraltar",1,0,4,0,0
"Guatemala City, Guatemala",5,0,8,1,4
"Gustavia, Saint Barthélemy",0,0,1,0,0
"Hagåtña, Guam",1,0,1,0,0
"Hamilton, Bermuda",1,0,5,0,1
"Havana, Cuba",9,0,4,0,1
"Helsinki, Finland",16,0,28,4,6
"Islamabad, Pakistan",1,0,4,0,0
"Jakarta, Indonesia",20,1,65,4,10
"Jamestown, Saint Helena",0,0,1,0,0
"Jerusalem, Israel",6,0,19,3,5
"Jerusalem, Palestine",6,0,11,3,5
"Kabul, Afghanistan",0,0,2,0,0
"Kathmandu, Nepal",5,0,4,1,0
"Kigali, Rwanda",0,0,5,0,1
"Kingston, Jamaica",2,0,5,0,1
"Kingston, Norfolk Island",0,0,2,0,0
"Kingstown, Saint Vincent and the Grenadines",0,0,0,0,0
"Kinshasa, Democratic Republic of the Congo",0,0,1,0,0
"Kuala Lumpur, Malaysia",13,1,30,12,5
"Kuwait City, Kuwait",6,0,17,6,5
"Libreville, Gabon",1,0,0,0,0
"Lilongwe, Malawi",0,0,0,0,0
"Lima, Peru",10,0,30,2,4
"Lisbon, Portugal",22,0,30,1,6
"Luanda, Angola",0,0,6,0,0
"Luxembourg, Luxembourg",4,0,4,1,1
"Majuro, Marshall Islands",0,0,0,0,0
"Malabo, Equatorial Guinea",0,0,0,0,0
"Malé, Maldives",0,0,5,4,1
"Managua, Nicaragua",1,0,0,1,0
"Manama, Bahrain",4,0,7,0,1
"Manila, Philippines",7,2,20,4,12
"Maputo, Mozambique",2,0,2,0,2
"Marigot, Saint Martin",0,0,1,0,0
"Maseru, Lesotho",0,0,1,0,0
"Mexico City, Mexico",65,2,90,5,15
"Minsk, Belarus",10,10,20,2,4
"Monaco, Monaco",4,0,3,0,0
"Monrovia, Liberia",0,0,0,0,0
"Moroni, Comoros",0,0,0,0,0
"Moscow, Russia",68,4,125,7,38
"Muscat, Oman",2,0,5,3,3
"N'Djamena, Chad",0,0,0,0,0
"Nairobi, Kenya",1,0,5,0,1
"Nassau, Bahamas",2,0,3,0,0
"Naypyidaw, Myanmar",0,0,1,0,0
"New Delhi, India",4,0,14,1,2
"Ngerulmud, Palau",0,0,1,0,0
"Niamey, Niger",0,0,0,0,0
"Nicosia, Cyprus",4,0,13,0,1
"Nouakchott, Mauritania",0,0,1,0,0
"Nouméa, New Caledonia",2,0,3,0,0
"Nuuk, Greenland",1,0,2,0,0
"Oranjestad, Aruba",1,0,4,0,0
"Oslo, Norway",14,1,22,1,5
"Ottawa, Canada",2,0,7,0,4
"Ouagadougou, Burkina Faso",0,0,2,0,0
"Palikir, Federated States of Micronesia",0,0,0,0,0
"Panama City, Panama",3,0,8,1,4
"Papeete, French Polynesia",2,0,3,0,0
"Paris, France",70,1,28,4,16
"Philipsburg, Sint Maarten",0,0,0,0,0
"Phnom Penh, Cambodia",1,0,6,0,0
"Plymouth, Montserrat",0,0,0,0,0
"Podgorica, Montenegro",1,0,2,0,1
